date,merchant,category,amount,payment_method
2026-06-29 10:34:00,Domino's,food_delivery,106,UPI
2026-06-29 10:42:00,Zara,clothing,590,UPI
2026-06-29 12:42:00,Uber,transportation,145,Credit Card
2026-06-29 12:58:00,BigBasket,groceries,299,UPI
2026-06-29 14:23:00,Blinkit,groceries,263,UPI
2026-06-29 20:50:00,Croma,electronics,4249,Credit Card
2026-06-30 01:53:00,Zomato,food_delivery,124,UPI
2026-06-30 12:01:00,Ola,transportation,100,UPI
2026-06-30 23:39:00,Box8,food_delivery,70,Debit Card
2026-07-01 00:38:00,Domino's,food_delivery,87,Debit Card
2026-07-01 12:41:00,Blinkit,groceries,232,Credit Card
2026-07-01 13:26:00,BigBasket,groceries,252,Debit Card
2026-07-01 13:32:00,Decathlon,fitness,485,UPI
2026-07-01 17:38:00,Mamaearth,beauty,254,UPI
2026-07-01 19:13:00,Cult.fit,fitness,533,UPI
2026-07-01 20:32:00,Nykaa,beauty,361,Credit Card
2026-07-01 21:08:00,INOX,entertainment,160,Credit Card
2026-07-01 22:32:00,PVR Cinemas,entertainment,249,Debit Card
2026-07-01 22:54:00,Domino's,food_delivery,77,Debit Card
2026-07-02 11:08:00,Behrouz Biryani,food_delivery,117,Credit Card
2026-07-02 16:47:00,Sephora,beauty,314,Debit Card
2026-07-03 08:58:00,Rapido,transportation,98,Net Banking
2026-07-03 15:57:00,Netflix,subscriptions,649,Credit Card
2026-07-03 17:17:00,The Body Shop,beauty,567,UPI
2026-07-03 20:29:00,Box8,food_delivery,73,UPI
2026-07-03 23:52:00,Behrouz Biryani,food_delivery,116,Credit Card
2026-07-04 00:03:00,Behrouz Biryani,food_delivery,95,UPI
2026-07-04 09:32:00,BigBasket,groceries,193,UPI
2026-07-04 11:44:00,Urban Outfitters,clothing,478,Debit Card
2026-07-04 12:48:00,Box8,food_delivery,71,UPI
2026-07-04 13:40:00,Namma Metro,transportation,115,Debit Card
2026-07-04 18:46:00,Sephora,beauty,442,UPI
2026-07-04 19:19:00,Urban Outfitters,clothing,324,Debit Card
2026-07-04 21:33:00,Sephora,beauty,221,UPI
2026-07-05 09:40:00,BookMyShow,entertainment,127,Credit Card
2026-07-05 10:10:00,IndiGo,travel,914,UPI
2026-07-05 10:22:00,Zepto,groceries,237,UPI
2026-07-05 12:37:00,Nykaa,beauty,362,UPI
2026-07-05 14:01:00,Zepto,groceries,285,UPI
2026-07-05 15:17:00,PVR Cinemas,entertainment,159,Credit Card
2026-07-05 17:00:00,Domino's,food_delivery,80,Credit Card
2026-07-05 17:44:00,Spotify Premium,subscriptions,119,Credit Card
2026-07-05 21:16:00,Nykaa,beauty,362,Credit Card
2026-07-05 22:48:00,Box8,food_delivery,73,UPI
2026-07-05 22:51:00,Zepto,groceries,430,UPI
2026-07-07 09:30:00,Behrouz Biryani,food_delivery,75,UPI
2026-07-07 09:56:00,Rapido,transportation,125,Debit Card
2026-07-07 11:24:00,Zara,clothing,617,Debit Card
2026-07-07 13:21:00,BigBasket,groceries,175,UPI
2026-07-07 14:02:00,Steam,entertainment,402,UPI
2026-07-07 14:11:00,Box8,food_delivery,76,Credit Card
2026-07-07 14:46:00,Purplle,beauty,319,UPI
2026-07-07 19:06:00,Blinkit,groceries,119,UPI
2026-07-08 11:57:00,Rapido,transportation,121,Credit Card
2026-07-08 12:04:00,Ola,transportation,70,UPI
2026-07-08 13:27:00,Behrouz Biryani,food_delivery,89,Credit Card
2026-07-08 15:07:00,iCloud+,subscriptions,75,Credit Card
2026-07-08 16:21:00,Swiggy,food_delivery,125,UPI
2026-07-08 16:36:00,Instamart,groceries,64,Credit Card
2026-07-08 16:38:00,Ajio,clothing,392,UPI
2026-07-08 17:47:00,Purplle,beauty,561,UPI
2026-07-08 17:55:00,Indian Oil Petrol Pump,transportation,42,UPI
2026-07-08 20:12:00,Swiggy,food_delivery,110,Credit Card
2026-07-09 01:51:00,Zomato,food_delivery,116,UPI
2026-07-09 09:56:00,Steam,entertainment,363,Debit Card
2026-07-09 12:25:00,Uber,transportation,55,UPI
2026-07-09 16:06:00,Behrouz Biryani,food_delivery,127,Debit Card
2026-07-09 17:57:00,BookMyShow,entertainment,219,Credit Card
2026-07-10 09:58:00,Cult.fit,fitness,466,Credit Card
2026-07-10 10:23:00,Zomato,food_delivery,67,Debit Card
2026-07-10 13:02:00,Purplle,beauty,314,UPI
2026-07-10 15:26:00,Purplle,beauty,246,UPI
2026-07-10 19:36:00,Domino's,food_delivery,105,UPI
2026-07-10 20:33:00,IndiGo,travel,5697,UPI
2026-07-10 21:29:00,Box8,food_delivery,59,Credit Card
2026-07-11 00:51:00,Swiggy,food_delivery,142,Credit Card
2026-07-11 08:17:00,Urban Outfitters,clothing,927,UPI
2026-07-11 13:32:00,Apple Store,electronics,1002,Debit Card
2026-07-11 20:16:00,DMart,groceries,125,Debit Card
2026-07-11 21:33:00,Zomato,food_delivery,95,UPI
2026-07-11 22:21:00,BigBasket,groceries,338,UPI
2026-07-12 09:05:00,Decathlon,fitness,329,UPI
2026-07-12 10:39:00,Box8,food_delivery,81,UPI
2026-07-12 11:50:00,Namma Metro,transportation,117,Debit Card
2026-07-12 13:53:00,Zomato,food_delivery,74,UPI
2026-07-12 14:49:00,Namma Metro,transportation,141,UPI
2026-07-12 17:46:00,Amazon Prime,subscriptions,299,Credit Card
2026-07-12 20:12:00,Box8,food_delivery,75,UPI
2026-07-12 22:19:00,Ajio,clothing,503,UPI
2026-07-12 22:33:00,Instamart,groceries,156,UPI
2026-07-13 11:36:00,Ola,transportation,97,Net Banking
2026-07-13 12:28:00,Nykaa,beauty,535,UPI
2026-07-13 15:55:00,INOX,entertainment,207,Net Banking
2026-07-13 17:53:00,DMart,groceries,312,Credit Card
2026-07-13 21:24:00,INOX,entertainment,200,UPI
2026-07-14 09:08:00,Swiggy,food_delivery,96,UPI
2026-07-14 09:48:00,BigBasket,groceries,298,UPI
2026-07-14 11:10:00,Blinkit,groceries,185,UPI
2026-07-14 12:11:00,Gold's Gym,fitness,253,UPI
2026-07-14 16:43:00,The Body Shop,beauty,246,UPI
2026-07-14 17:43:00,Swiggy,food_delivery,112,UPI
2026-07-14 20:08:00,Ajio,clothing,549,UPI
2026-07-14 21:09:00,BookMyShow,entertainment,271,UPI
2026-07-14 21:44:00,Myntra,clothing,445,UPI
2026-07-14 22:50:00,Swiggy,food_delivery,89,UPI
2026-07-15 01:53:00,Box8,food_delivery,119,UPI
2026-07-15 11:10:00,Indian Oil Petrol Pump,transportation,66,UPI
2026-07-15 13:49:00,Reliance Digital,electronics,1438,UPI
2026-07-15 14:37:00,Zomato,food_delivery,79,UPI
2026-07-15 15:24:00,Swiggy,food_delivery,91,Credit Card
2026-07-15 18:14:00,Swiggy,food_delivery,88,Credit Card
2026-07-15 18:51:00,Blinkit,groceries,463,Debit Card
2026-07-15 20:42:00,Namma Metro,transportation,50,Credit Card
2026-07-15 20:56:00,Indian Oil Petrol Pump,transportation,61,Net Banking
2026-07-15 21:02:00,Ola,transportation,165,UPI
2026-07-15 22:00:00,Box8,food_delivery,86,UPI
2026-07-16 00:24:00,Behrouz Biryani,food_delivery,113,UPI
2026-07-16 11:06:00,DMart,groceries,165,UPI
2026-07-16 14:31:00,Domino's,food_delivery,91,Credit Card
2026-07-16 17:23:00,Airbnb,travel,660,Debit Card
2026-07-16 21:13:00,Gold's Gym,fitness,350,Debit Card
2026-07-16 22:46:00,Domino's,food_delivery,90,Debit Card
2026-07-17 15:02:00,Instamart,groceries,154,Debit Card
2026-07-17 19:23:00,Rapido,transportation,59,Debit Card
2026-07-18 10:58:00,Namma Metro,transportation,138,UPI
2026-07-18 11:29:00,Behrouz Biryani,food_delivery,93,UPI
2026-07-18 15:13:00,Namma Metro,transportation,160,UPI
2026-07-18 15:19:00,Ola,transportation,58,Net Banking
2026-07-18 15:46:00,BigBasket,groceries,167,UPI
2026-07-18 18:27:00,Behrouz Biryani,food_delivery,97,UPI
2026-07-18 19:13:00,Swiggy,food_delivery,78,Debit Card
2026-07-18 19:14:00,Box8,food_delivery,95,UPI
2026-07-18 19:14:00,Rapido,transportation,137,Credit Card
2026-07-18 19:26:00,YouTube Premium,subscriptions,149,Credit Card
2026-07-18 20:23:00,BigBasket,groceries,88,Debit Card
2026-07-18 21:14:00,Gold's Gym,fitness,311,UPI
2026-07-18 22:21:00,Swiggy,food_delivery,109,UPI
2026-07-18 22:48:00,Steam,entertainment,242,UPI
2026-07-19 01:12:00,Box8,food_delivery,114,Credit Card
2026-07-19 09:45:00,Behrouz Biryani,food_delivery,120,Credit Card
2026-07-19 10:36:00,Ola,transportation,94,UPI
2026-07-19 12:14:00,BigBasket,groceries,239,Credit Card
2026-07-19 17:55:00,Blinkit,groceries,226,UPI
2026-07-19 20:19:00,DMart,groceries,383,UPI
2026-07-19 22:03:00,Zomato,food_delivery,69,UPI
2026-07-19 22:56:00,Box8,food_delivery,122,Debit Card
2026-07-19 23:46:00,Box8,food_delivery,90,UPI
2026-07-20 13:45:00,Zomato,food_delivery,51,Credit Card
2026-07-20 15:37:00,Instamart,groceries,228,Credit Card
2026-07-20 15:54:00,Box8,food_delivery,94,UPI
2026-07-20 16:29:00,Apple Store,electronics,917,Credit Card
2026-07-20 22:34:00,Purplle,beauty,320,UPI
2026-07-20 23:49:00,Swiggy,food_delivery,112,UPI
2026-07-21 10:11:00,HealthifyMe,fitness,453,Credit Card
2026-07-21 10:13:00,Zara,clothing,709,Debit Card
2026-07-22 01:06:00,Domino's,food_delivery,89,Credit Card
2026-07-22 12:12:00,Zepto,groceries,391,UPI
2026-07-22 12:14:00,Blinkit,groceries,204,Net Banking
2026-07-22 14:19:00,Namma Metro,transportation,69,UPI
2026-07-22 16:33:00,BookMyShow,entertainment,206,UPI
2026-07-22 22:06:00,Namma Metro,transportation,162,Credit Card
2026-07-22 22:15:00,Instamart,groceries,319,UPI
2026-07-23 08:06:00,Indian Oil Petrol Pump,transportation,124,Credit Card
2026-07-23 18:03:00,Namma Metro,transportation,64,UPI
2026-07-24 15:47:00,Rapido,transportation,114,Credit Card
2026-07-24 18:08:00,Zomato,food_delivery,130,UPI
2026-07-24 18:19:00,H&M,clothing,303,Credit Card
2026-07-24 18:56:00,Uber,transportation,93,UPI
2026-07-24 19:13:00,Behrouz Biryani,food_delivery,91,UPI
2026-07-25 19:13:00,Behrouz Biryani,food_delivery,144,Credit Card
2026-07-25 22:36:00,Behrouz Biryani,food_delivery,123,UPI
2026-07-25 23:08:00,Domino's,food_delivery,87,Debit Card
2026-07-25 23:54:00,Behrouz Biryani,food_delivery,135,Net Banking
2026-07-26 09:40:00,Blinkit,groceries,161,Net Banking
2026-07-26 12:08:00,Behrouz Biryani,food_delivery,128,UPI
2026-07-26 13:46:00,DMart,groceries,343,Credit Card
2026-07-26 15:19:00,Uber,transportation,65,Debit Card
2026-07-26 15:43:00,Myntra,clothing,883,UPI
2026-07-26 18:57:00,Cult.fit,fitness,337,UPI
2026-07-26 20:47:00,Sephora,beauty,319,Credit Card
2026-07-26 22:18:00,Domino's,food_delivery,106,UPI
2026-07-27 11:45:00,Domino's,food_delivery,90,UPI
2026-07-27 12:38:00,Ola,transportation,72,UPI
2026-07-27 14:15:00,Mamaearth,beauty,346,UPI
2026-07-27 23:38:00,Behrouz Biryani,food_delivery,124,UPI
2026-07-28 00:45:00,Behrouz Biryani,food_delivery,114,Credit Card
2026-07-28 19:02:00,DMart,groceries,437,UPI
2026-07-28 22:46:00,Behrouz Biryani,food_delivery,88,Debit Card
2026-07-29 11:03:00,The Body Shop,beauty,216,Debit Card
2026-07-29 15:00:00,Box8,food_delivery,67,UPI
2026-07-29 20:00:00,Nykaa,beauty,279,Net Banking
2026-07-29 21:29:00,HealthifyMe,fitness,295,Debit Card
2026-07-30 00:02:00,Behrouz Biryani,food_delivery,130,UPI
2026-07-30 14:05:00,Rapido,transportation,71,Credit Card
2026-07-30 14:42:00,Indian Oil Petrol Pump,transportation,105,Net Banking
2026-07-30 15:20:00,Namma Metro,transportation,64,UPI
2026-07-30 22:17:00,Behrouz Biryani,food_delivery,112,Debit Card
2026-07-30 22:42:00,Zomato,food_delivery,86,UPI
2026-07-31 01:01:00,Swiggy,food_delivery,77,UPI
2026-07-31 01:51:00,Zomato,food_delivery,95,Debit Card
2026-07-31 08:35:00,Ola,transportation,140,UPI
2026-07-31 16:58:00,Swiggy,food_delivery,75,Debit Card
2026-07-31 23:20:00,Behrouz Biryani,food_delivery,85,UPI
2026-08-01 01:09:00,Swiggy,food_delivery,99,UPI
2026-08-01 09:17:00,BigBasket,groceries,223,Credit Card
2026-08-01 10:08:00,HealthifyMe,fitness,585,UPI
2026-08-01 10:15:00,Domino's,food_delivery,88,Debit Card
2026-08-01 11:03:00,PlayStation Store,entertainment,259,Credit Card
2026-08-01 11:10:00,Swiggy,food_delivery,136,UPI
2026-08-01 12:03:00,Ajio,clothing,560,UPI
2026-08-01 19:16:00,RedBus,travel,360,UPI
2026-08-01 19:20:00,The Body Shop,beauty,224,Credit Card
2026-08-01 20:35:00,Namma Metro,transportation,117,Debit Card
2026-08-01 20:39:00,H&M,clothing,452,Credit Card
2026-08-01 21:58:00,Behrouz Biryani,food_delivery,97,UPI
2026-08-01 23:38:00,Box8,food_delivery,87,UPI
2026-08-02 00:06:00,Domino's,food_delivery,64,UPI
2026-08-02 09:20:00,Behrouz Biryani,food_delivery,135,UPI
2026-08-02 10:55:00,Zepto,groceries,175,UPI
2026-08-02 11:14:00,Box8,food_delivery,102,UPI
2026-08-02 12:11:00,Zara,clothing,520,Debit Card
2026-08-02 12:34:00,Ola,transportation,73,Net Banking
2026-08-02 16:15:00,Swiggy,food_delivery,64,UPI
2026-08-02 19:56:00,Namma Metro,transportation,48,Credit Card
2026-08-02 21:20:00,Nykaa,beauty,467,UPI
2026-08-03 09:11:00,Box8,food_delivery,128,UPI
2026-08-03 09:42:00,Uber,transportation,84,Debit Card
2026-08-03 10:41:00,Nykaa,beauty,284,UPI
2026-08-03 15:21:00,Netflix,subscriptions,649,Credit Card
2026-08-03 17:34:00,Indian Oil Petrol Pump,transportation,111,Debit Card
2026-08-03 22:50:00,Behrouz Biryani,food_delivery,97,Credit Card
2026-08-04 01:20:00,Behrouz Biryani,food_delivery,85,UPI
2026-08-04 08:56:00,Namma Metro,transportation,30,Debit Card
2026-08-04 11:28:00,Namma Metro,transportation,81,UPI
2026-08-04 15:37:00,Box8,food_delivery,88,Net Banking
2026-08-04 19:49:00,Zomato,food_delivery,92,UPI
2026-08-05 10:05:00,Blinkit,groceries,201,Debit Card
2026-08-05 11:54:00,Spotify Premium,subscriptions,119,Credit Card
2026-08-05 17:04:00,Ajio,clothing,593,UPI
2026-08-05 18:00:00,Domino's,food_delivery,80,Debit Card
2026-08-05 20:34:00,Zomato,food_delivery,98,UPI
2026-08-06 08:01:00,PlayStation Store,entertainment,325,Credit Card
2026-08-06 13:00:00,INOX,entertainment,281,UPI
2026-08-06 15:52:00,Instamart,groceries,220,UPI
2026-08-06 23:32:00,Zomato,food_delivery,124,UPI
2026-08-07 01:34:00,Box8,food_delivery,112,Credit Card
2026-08-07 08:11:00,H&M,clothing,608,UPI
2026-08-07 12:02:00,Box8,food_delivery,78,Debit Card
2026-08-07 13:30:00,Purplle,beauty,292,UPI
2026-08-07 14:40:00,Uber,transportation,52,Debit Card
2026-08-07 22:17:00,Domino's,food_delivery,55,Net Banking
2026-08-08 10:40:00,RedBus,travel,478,UPI
2026-08-08 11:44:00,Namma Metro,transportation,96,Debit Card
2026-08-08 13:48:00,iCloud+,subscriptions,75,Credit Card
2026-08-08 14:25:00,Steam,entertainment,244,Credit Card
2026-08-08 15:23:00,INOX,entertainment,108,Credit Card
2026-08-08 16:20:00,Myntra,clothing,553,UPI
2026-08-08 16:40:00,Behrouz Biryani,food_delivery,82,Net Banking
2026-08-08 16:54:00,Indian Oil Petrol Pump,transportation,68,Net Banking
2026-08-08 19:54:00,Box8,food_delivery,67,UPI
2026-08-08 20:54:00,BookMyShow,entertainment,115,UPI
2026-08-09 08:45:00,Nykaa,beauty,411,Debit Card
2026-08-09 11:13:00,Purplle,beauty,205,Debit Card
2026-08-09 13:35:00,Rapido,transportation,121,Credit Card
2026-08-09 14:21:00,Box8,food_delivery,125,UPI
2026-08-09 14:57:00,Cult.fit,fitness,191,Debit Card
2026-08-09 16:06:00,Swiggy,food_delivery,115,Credit Card
2026-08-09 17:12:00,Purplle,beauty,357,Debit Card
2026-08-09 17:55:00,Behrouz Biryani,food_delivery,63,UPI
2026-08-09 18:23:00,Zepto,groceries,115,UPI
2026-08-09 22:22:00,Domino's,food_delivery,71,Debit Card
2026-08-10 01:53:00,Swiggy,food_delivery,71,UPI
